age,goal_time_minutes,goal_distance_km,experience_encoded,race_terrain_encoded,weeks_of_training,avg_weekly_miles_last_12w,peak_weekly_miles,avg_training_pace_min_per_mile,longest_run_miles,num_runs_20_plus,pct_miles_road,pct_miles_trail,pct_miles_track,adherence_pct,days_to_race,negative_sentiment_rate,actual_finish_time_minutes,met_goal
54.0,283.0,42.195,0.0,0.0,15.0,37.0,40.68,10.57,19.81,2.0,57.56,35.35,7.1,87.51,28.0,0.087,253.93,1.0
49.0,227.0,42.195,1.0,0.0,12.0,25.09,30.17,8.871,20.01,0.0,98.57,0.0,1.43,90.99,89.0,0.1393,266.35,0.0
53.0,40.0,5.0,0.0,0.0,12.0,21.16,24.2,9.741,7.06,0.0,50.61,27.29,22.1,60.03,24.0,0.3358,42.26,1.0
37.0,214.0,42.195,0.0,0.0,18.0,50.58,55.27,8.958,13.48,3.0,65.1,23.04,11.85,100.0,90.0,0.2531,214.16,1.0
26.0,164.0,21.0975,0.0,0.0,13.0,24.6,34.22,12.34,12.58,0.0,59.9,23.79,16.31,89.43,61.0,0.2047,168.62,1.0
26.0,201.0,21.0975,1.0,1.0,12.0,35.58,45.12,6.5,8.93,0.0,62.41,36.2,1.39,78.57,61.0,0.2635,173.62,1.0
33.0,172.0,21.0975,0.0,2.0,11.0,42.92,49.86,9.729,10.49,0.0,60.19,23.78,16.02,80.97,69.0,0.2313,177.62,1.0
49.0,45.0,5.0,0.0,0.0,8.0,18.11,25.11,9.562,6.35,0.0,75.33,1.99,22.68,87.43,65.0,0.1889,42.28,1.0
29.0,142.0,21.0975,1.0,0.0,17.0,24.81,31.0,8.309,10.71,0.0,56.85,21.85,21.3,80.95,80.0,0.2017,147.53,1.0
35.0,48.0,10.0,0.0,0.0,13.0,17.87,25.31,8.547,9.59,0.0,75.11,7.32,17.58,84.28,71.0,0.3672,55.81,0.0
55.0,32.0,5.0,0.0,0.0,12.0,20.12,23.08,10.766,8.92,0.0,85.18,13.8,1.02,76.92,41.0,0.1145,35.12,0.0
40.0,373.0,42.195,1.0,0.0,12.0,21.25,30.05,9.522,18.75,1.0,48.4,29.97,21.64,66.61,48.0,0.1385,318.79,0.0
49.0,78.0,10.0,1.0,0.0,16.0,24.83,34.61,8.79,11.12,0.0,72.9,20.23,6.87,79.72,42.0,0.0614,85.93,0.0
40.0,110.0,21.0975,2.0,1.0,18.0,28.53,31.77,6.605,11.98,0.0,55.27,43.05,1.68,89.05,60.0,0.0631,132.05,0.0
22.0,273.0,42.195,0.0,2.0,15.0,43.49,50.24,10.034,17.91,3.0,88.49,3.45,8.06,86.19,67.0,0.4441,248.56,1.0
30.0,376.0,42.195,1.0,0.0,14.0,27.22,32.28,9.157,21.55,2.0,80.69,18.42,0.9,54.98,73.0,0.1379,313.45,1.0
25.0,83.0,10.0,1.0,0.0,8.0,16.03,21.95,8.426,8.5,0.0,99.89,0.08,0.03,79.47,21.0,0.0524,82.4,1.0
53.0,150.0,21.0975,0.0,0.0,12.0,16.73,21.46,12.085,13.69,0.0,82.64,13.9,3.46,85.34,27.0,0.4191,172.67,0.0
22.0,25.0,5.0,1.0,0.0,13.0,21.37,25.46,9.663,5.27,0.0,40.36,35.02,24.62,95.63,86.0,0.0716,31.08,0.0
51.0,39.0,10.0,0.0,0.0,13.0,25.87,31.29,9.933,7.9,0.0,54.34,42.51,3.15,84.43,68.0,0.327,60.47,0.0
45.0,201.0,42.195,1.0,0.0,23.0,27.34,39.47,7.875,17.95,0.0,88.93,10.61,0.45,93.95,41.0,0.3069,230.83,0.0
47.0,160.0,21.0975,2.0,0.0,20.0,17.66,20.37,7.94,12.16,0.0,65.54,12.21,22.24,77.18,32.0,0.2419,146.69,1.0
45.0,61.0,10.0,1.0,1.0,12.0,25.73,33.01,9.762,6.63,0.0,49.36,48.14,2.5,99.13,85.0,0.2727,74.05,0.0
33.0,165.0,21.0975,0.0,0.0,16.0,24.2,34.03,10.345,11.02,0.0,78.99,16.94,4.07,87.1,24.0,0.3828,161.44,1.0
33.0,101.0,21.0975,0.0,0.0,15.0,31.32,34.44,9.307,13.22,0.0,84.41,8.22,7.37,80.76,56.0,0.1333,116.42,0.0
29.0,33.0,5.0,1.0,0.0,9.0,8.93,13.31,9.138,4.8,0.0,56.47,25.15,18.38,87.75,81.0,0.2342,39.65,0.0
34.0,48.0,10.0,0.0,0.0,15.0,17.46,25.35,10.015,10.26,0.0,63.19,23.53,13.27,98.36,81.0,0.0396,59.81,0.0
35.0,69.0,10.0,0.0,0.0,9.0,23.14,26.09,10.645,6.98,0.0,81.24,12.43,6.33,93.28,47.0,0.1767,73.95,0.0
26.0,376.0,42.195,0.0,0.0,21.0,51.02,66.67,8.038,12.5,4.0,34.45,46.78,18.77,86.9,45.0,0.4766,246.72,1.0
35.0,30.0,5.0,0.0,0.0,10.0,19.6,28.44,10.431,7.63,0.0,69.47,15.53,14.99,87.33,64.0,0.0359,31.84,1.0
54.0,289.0,42.195,1.0,0.0,18.0,52.31,67.8,6.983,19.39,1.0,59.29,27.99,12.72,83.57,49.0,0.3381,221.32,1.0
26.0,171.0,21.0975,0.0,0.0,18.0,38.31,43.34,7.846,9.97,0.0,67.67,25.45,6.88,77.96,40.0,0.1949,159.3,1.0
31.0,102.0,21.0975,2.0,0.0,13.0,27.02,40.56,6.645,11.2,0.0,57.76,18.84,23.4,90.13,83.0,0.068,112.27,1.0
32.0,383.0,42.195,1.0,1.0,15.0,38.26,48.19,7.997,14.4,3.0,42.7,50.86,6.45,87.34,46.0,0.2783,282.83,1.0
35.0,37.0,5.0,0.0,0.0,12.0,19.6,29.97,9.476,4.77,0.0,56.58,18.9,24.52,84.93,51.0,0.1587,36.72,1.0
27.0,144.0,21.0975,1.0,0.0,18.0,45.77,49.76,8.08,12.13,0.0,63.77,11.81,24.42,96.9,42.0,0.2198,131.61,1.0
37.0,51.0,10.0,1.0,0.0,14.0,23.47,35.54,7.941,11.27,0.0,85.89,12.42,1.69,87.4,27.0,0.192,65.68,0.0
24.0,387.0,42.195,1.0,1.0,12.0,38.53,44.57,8.713,14.57,0.0,30.62,50.62,18.76,100.0,42.0,0.0238,306.09,1.0
34.0,78.0,10.0,0.0,0.0,16.0,18.48,25.32,12.44,11.25,0.0,74.64,19.84,5.52,77.64,90.0,0.2057,87.89,0.0
53.0,164.0,21.0975,0.0,0.0,12.0,36.1,44.8,9.708,11.08,0.0,75.67,16.46,7.87,92.26,66.0,0.3709,167.27,1.0
45.0,192.0,21.0975,0.0,0.0,20.0,26.71,37.57,9.291,13.44,0.0,89.43,0.0,10.57,87.04,36.0,0.2055,196.07,1.0
36.0,229.0,42.195,2.0,0.0,21.0,27.42,32.84,8.72,13.22,0.0,49.29,30.22,20.5,86.93,31.0,0.0709,257.4,0.0
55.0,156.0,21.0975,2.0,0.0,15.0,25.92,31.93,7.616,9.02,0.0,55.14,23.21,21.65,69.98,43.0,0.3103,144.82,1.0
31.0,147.0,21.0975,0.0,0.0,13.0,22.21,29.62,11.16,11.03,0.0,77.94,3.98,18.08,83.17,82.0,0.1356,162.15,0.0
29.0,384.0,42.195,2.0,0.0,17.0,19.44,28.19,8.626,18.8,4.0,63.35,15.34,21.3,57.83,60.0,0.2584,331.01,1.0
44.0,218.0,42.195,0.0,0.0,15.0,61.21,68.47,8.909,13.88,4.0,67.38,23.26,9.36,51.45,48.0,0.5179,153.92,1.0
49.0,233.0,42.195,0.0,0.0,22.0,44.4,64.72,6.951,17.2,2.0,63.67,19.62,16.71,81.73,53.0,0.0321,205.75,1.0
28.0,203.0,42.195,0.0,1.0,17.0,26.46,31.39,11.621,20.71,4.0,48.41,40.82,10.78,87.27,35.0,0.071,238.74,0.0
40.0,399.0,42.195,0.0,1.0,13.0,28.11,34.54,11.7,21.16,4.0,62.54,35.88,1.58,61.2,61.0,0.258,345.63,1.0
26.0,415.0,42.195,2.0,0.0,23.0,41.54,50.92,7.096,20.99,3.0,43.96,43.96,12.07,78.19,82.0,0.0229,264.33,1.0
35.0,26.0,5.0,0.0,2.0,7.0,10.7,14.37,11.043,8.68,0.0,86.66,9.5,3.84,76.1,90.0,0.1087,34.41,0.0
44.0,388.0,42.195,0.0,0.0,18.0,42.51,46.39,10.285,15.78,1.0,68.98,26.45,4.57,98.81,34.0,0.0662,305.67,1.0
44.0,156.0,21.0975,1.0,0.0,15.0,39.2,49.84,7.038,11.82,0.0,94.3,0.0,5.7,80.27,50.0,0.1403,147.6,1.0
47.0,83.0,10.0,1.0,2.0,14.0,18.52,23.0,9.248,10.03,0.0,62.39,26.99,10.63,93.86,47.0,0.1023,89.38,1.0
39.0,356.0,42.195,0.0,2.0,15.0,25.15,34.49,10.148,14.91,1.0,48.17,34.12,17.7,72.29,58.0,0.2632,318.19,1.0
27.0,103.0,21.0975,1.0,1.0,11.0,29.21,33.45,9.263,9.93,0.0,48.04,40.27,11.69,87.98,72.0,0.167,138.45,0.0
30.0,101.0,21.0975,0.0,0.0,20.0,42.32,46.02,9.566,12.91,0.0,59.61,28.86,11.52,96.38,84.0,0.1328,127.2,0.0
46.0,234.0,42.195,1.0,2.0,20.0,49.59,65.38,6.5,16.02,4.0,52.58,23.95,23.47,60.63,91.0,0.3776,190.94,1.0
40.0,38.0,5.0,1.0,0.0,7.0,18.07,28.27,8.712,7.39,0.0,68.91,6.98,24.11,83.94,78.0,0.2656,39.3,1.0
45.0,95.0,21.0975,2.0,0.0,12.0,30.96,35.57,7.071,8.71,0.0,86.82,3.89,9.29,93.31,33.0,0.207,120.25,0.0
28.0,197.0,42.195,1.0,1.0,15.0,25.59,32.11,9.394,14.01,0.0,34.8,45.3,19.9,79.39,34.0,0.1485,239.44,0.0
35.0,87.0,10.0,0.0,0.0,15.0,22.41,33.01,10.086,11.5,0.0,82.53,11.78,5.69,86.5,81.0,0.0622,89.72,1.0
51.0,225.0,42.195,1.0,1.0,18.0,44.72,59.47,6.834,13.18,4.0,43.79,41.65,14.57,79.86,37.0,0.0727,211.03,1.0
37.0,206.0,21.0975,2.0,2.0,14.0,30.66,39.15,7.186,15.89,0.0,68.51,9.61,21.89,85.38,57.0,0.1619,170.73,1.0
48.0,408.0,42.195,0.0,1.0,12.0,41.54,51.67,8.841,12.55,2.0,32.83,57.26,9.91,92.48,45.0,0.1284,305.99,1.0
49.0,52.0,10.0,0.0,2.0,11.0,24.53,29.62,9.32,9.19,0.0,68.33,15.66,16.01,94.3,22.0,0.0965,65.24,0.0
52.0,26.0,5.0,0.0,0.0,7.0,10.02,11.43,10.873,4.37,0.0,55.06,25.58,19.36,82.45,30.0,0.1796,33.92,0.0
36.0,84.0,10.0,0.0,0.0,15.0,18.35,22.59,11.195,11.14,0.0,82.47,9.84,7.69,92.71,53.0,0.1374,91.2,0.0
45.0,27.0,5.0,1.0,0.0,12.0,8.33,11.48,10.019,6.05,0.0,77.1,4.33,18.57,76.58,27.0,0.116,30.21,0.0
55.0,38.0,5.0,1.0,0.0,10.0,14.53,19.87,8.849,8.81,0.0,73.65,20.93,5.42,62.1,62.0,0.3626,39.54,1.0
22.0,117.0,21.0975,1.0,0.0,13.0,30.81,42.79,8.608,15.25,0.0,39.66,35.37,24.97,58.31,56.0,0.2007,134.04,0.0
46.0,387.0,42.195,0.0,0.0,20.0,32.18,40.73,9.934,21.86,4.0,47.3,32.74,19.96,82.69,23.0,0.2223,319.66,1.0
32.0,30.0,5.0,2.0,0.0,7.0,11.83,14.56,9.37,6.77,0.0,74.24,9.36,16.4,78.41,22.0,0.3132,34.48,0.0
44.0,30.0,5.0,1.0,2.0,7.0,11.58,13.57,10.754,6.75,0.0,67.02,16.48,16.5,74.61,34.0,0.0605,33.64,0.0
42.0,136.0,21.0975,0.0,0.0,10.0,33.02,38.31,9.575,14.48,0.0,83.1,1.82,15.09,56.13,71.0,0.246,137.37,1.0
42.0,44.0,5.0,2.0,2.0,10.0,22.02,25.26,8.501,8.53,0.0,59.85,38.2,1.95,46.99,25.0,0.4406,41.84,1.0
42.0,91.0,10.0,1.0,0.0,16.0,12.96,19.02,9.554,8.78,0.0,62.29,16.22,21.49,81.6,87.0,0.0918,85.68,1.0
37.0,105.0,21.0975,0.0,0.0,14.0,31.28,42.61,9.374,10.68,0.0,46.84,32.09,21.07,92.9,77.0,0.14,125.07,0.0
54.0,64.0,10.0,0.0,0.0,9.0,18.86,27.0,10.365,6.19,0.0,74.91,22.37,2.72,84.61,64.0,0.3628,71.8,1.0
43.0,67.0,10.0,0.0,0.0,8.0,22.97,36.68,9.767,9.61,0.0,49.26,31.05,19.69,80.9,40.0,0.5203,68.08,0.0
53.0,43.0,10.0,0.0,0.0,15.0,28.23,37.5,9.604,6.79,0.0,52.76,34.64,12.6,74.08,24.0,0.2476,56.61,0.0
26.0,247.0,42.195,0.0,0.0,23.0,27.07,35.83,9.923,12.31,4.0,60.35,22.65,17.0,93.96,56.0,0.1772,235.28,1.0
44.0,19.0,5.0,0.0,0.0,14.0,12.63,19.89,10.827,5.19,0.0,62.99,13.59,23.42,60.28,74.0,0.1886,27.62,0.0
37.0,35.0,5.0,2.0,0.0,8.0,8.12,12.16,7.804,5.37,0.0,93.78,1.4,4.82,81.59,50.0,0.0161,37.55,1.0
35.0,187.0,21.0975,0.0,1.0,15.0,37.77,42.94,9.341,15.16,0.0,34.17,58.12,7.71,72.35,51.0,0.2565,176.06,1.0
33.0,43.0,10.0,0.0,0.0,13.0,15.4,21.1,10.967,8.55,0.0,45.41,32.24,22.34,91.27,74.0,0.18,65.32,0.0
33.0,412.0,42.195,2.0,1.0,15.0,61.06,68.64,6.5,13.42,4.0,51.89,33.5,14.6,80.86,58.0,0.1263,256.83,1.0
39.0,67.0,10.0,1.0,0.0,11.0,23.91,35.58,10.404,7.94,0.0,60.88,28.05,11.07,75.74,71.0,0.2957,66.88,1.0
25.0,77.0,10.0,0.0,0.0,12.0,24.64,35.66,11.256,10.23,0.0,88.35,3.18,8.48,84.81,25.0,0.0365,81.32,1.0
37.0,59.0,10.0,0.0,0.0,14.0,21.44,29.42,9.799,8.07,0.0,70.93,19.6,9.47,89.26,39.0,0.1282,70.34,0.0
54.0,30.0,5.0,0.0,1.0,11.0,16.17,20.15,10.81,8.35,0.0,31.82,47.12,21.06,68.8,65.0,0.1748,40.75,0.0
45.0,37.0,5.0,0.0,2.0,12.0,9.54,14.0,10.251,8.86,0.0,77.21,15.1,7.69,87.91,70.0,0.0439,41.28,0.0
23.0,43.0,10.0,1.0,0.0,10.0,25.06,28.76,9.032,11.97,0.0,76.22,14.98,8.8,91.47,26.0,0.4172,50.96,0.0
31.0,243.0,42.195,0.0,0.0,13.0,40.36,48.92,10.4,15.77,2.0,57.27,32.02,10.71,86.36,35.0,0.6,254.21,1.0
51.0,45.0,5.0,1.0,0.0,13.0,6.45,10.48,10.085,8.27,0.0,55.71,24.4,19.89,100.0,37.0,0.1668,47.65,1.0
53.0,77.0,10.0,0.0,0.0,11.0,18.24,25.63,10.658,7.83,0.0,96.25,0.0,3.75,55.37,36.0,0.2587,81.36,0.0
42.0,244.0,42.195,1.0,0.0,12.0,45.94,52.87,7.641,15.59,2.0,78.46,15.1,6.44,73.7,21.0,0.3166,221.92,1.0
39.0,70.0,10.0,0.0,2.0,12.0,27.57,37.42,10.781,9.22,0.0,62.63,31.45,5.92,77.35,30.0,0.2927,75.71,1.0
24.0,193.0,21.0975,1.0,1.0,16.0,33.76,41.55,8.423,10.58,0.0,37.77,45.62,16.61,95.48,70.0,0.1411,175.89,1.0
38.0,141.0,21.0975,1.0,0.0,16.0,33.97,39.25,6.998,13.0,0.0,83.27,14.2,2.53,85.49,80.0,0.0175,132.32,1.0
39.0,129.0,21.0975,0.0,2.0,13.0,33.16,41.7,8.849,10.95,0.0,72.3,18.36,9.33,75.08,24.0,0.2825,143.4,0.0
41.0,107.0,21.0975,2.0,0.0,12.0,42.44,47.7,6.5,12.18,0.0,52.03,27.49,20.49,100.0,35.0,0.101,121.61,0.0
23.0,197.0,21.0975,0.0,0.0,15.0,16.5,22.9,10.821,14.69,0.0,88.44,6.18,5.38,76.71,31.0,0.3429,189.01,1.0
30.0,168.0,21.0975,1.0,0.0,15.0,39.59,48.74,8.253,14.25,0.0,71.74,15.52,12.74,83.29,21.0,0.3329,151.45,1.0
36.0,123.0,21.0975,1.0,2.0,15.0,23.99,28.56,8.734,8.2,0.0,61.77,22.79,15.44,93.03,39.0,0.3011,154.09,0.0
34.0,96.0,21.0975,1.0,1.0,14.0,32.47,38.6,7.979,14.87,0.0,65.72,33.63,0.65,60.39,46.0,0.2886,131.17,0.0
24.0,368.0,42.195,0.0,0.0,20.0,46.6,66.36,6.703,16.07,4.0,46.53,36.78,16.68,91.45,87.0,0.1905,259.89,1.0
53.0,190.0,21.0975,1.0,0.0,11.0,22.91,25.92,9.802,14.58,0.0,43.58,32.43,23.99,100.0,62.0,0.0747,197.04,1.0
53.0,310.0,42.195,1.0,0.0,20.0,34.79,47.5,8.599,20.23,1.0,59.83,25.8,14.37,87.52,35.0,0.2123,250.51,1.0
29.0,189.0,21.0975,0.0,2.0,12.0,25.41,36.96,8.708,9.81,0.0,60.63,29.52,9.85,96.15,34.0,0.063,185.83,1.0
38.0,130.0,21.0975,1.0,0.0,16.0,38.03,44.54,8.009,10.73,0.0,53.13,32.3,14.57,80.14,77.0,0.4215,129.79,1.0
29.0,417.0,42.195,0.0,1.0,19.0,39.96,44.52,11.753,18.89,0.0,36.75,42.94,20.31,70.52,22.0,0.1887,319.49,1.0
37.0,411.0,42.195,1.0,2.0,14.0,23.35,28.51,9.603,17.12,4.0,85.74,10.06,4.2,64.85,78.0,0.1513,319.08,1.0
40.0,53.0,10.0,0.0,0.0,10.0,18.24,28.23,8.714,11.07,0.0,82.51,8.48,9.01,73.72,33.0,0.209,58.74,0.0
29.0,398.0,42.195,1.0,0.0,23.0,42.21,50.05,7.805,21.19,3.0,55.22,21.16,23.62,84.53,28.0,0.4016,275.67,1.0
42.0,136.0,21.0975,1.0,0.0,15.0,16.15,23.51,8.684,13.1,0.0,81.04,1.67,17.3,74.98,71.0,0.0509,139.02,1.0
40.0,193.0,21.0975,1.0,1.0,13.0,39.36,49.95,6.663,8.49,0.0,76.83,14.95,8.22,95.92,63.0,0.3213,182.5,1.0
39.0,127.0,21.0975,0.0,2.0,18.0,27.21,40.37,10.544,15.65,0.0,58.22,30.15,11.63,75.5,79.0,0.0237,147.14,0.0
49.0,68.0,10.0,0.0,1.0,11.0,18.54,24.96,11.687,7.47,0.0,44.29,54.1,1.61,83.13,35.0,0.2139,81.26,0.0
54.0,145.0,21.0975,0.0,0.0,17.0,20.29,29.53,10.182,11.32,0.0,70.37,15.71,13.92,71.73,36.0,0.373,153.26,0.0
23.0,157.0,21.0975,0.0,0.0,10.0,27.21,36.49,12.076,12.39,0.0,86.16,11.13,2.71,82.11,36.0,0.096,154.97,1.0
51.0,74.0,10.0,0.0,2.0,10.0,27.54,37.93,9.341,9.89,0.0,38.25,38.68,23.07,74.02,64.0,0.0934,83.94,1.0
45.0,185.0,21.0975,0.0,0.0,20.0,27.18,40.22,8.307,12.72,0.0,35.45,47.12,17.43,66.91,69.0,0.2354,169.48,1.0
44.0,182.0,42.195,0.0,1.0,24.0,31.31,39.91,10.544,15.24,0.0,16.05,62.07,21.88,85.64,27.0,0.2149,242.9,0.0
48.0,338.0,42.195,0.0,0.0,24.0,31.65,38.8,10.731,15.2,4.0,57.89,30.39,11.73,77.09,41.0,0.1822,288.02,1.0
27.0,73.0,10.0,0.0,0.0,9.0,13.09,20.55,10.259,9.29,0.0,80.23,0.0,19.77,73.89,30.0,0.3941,80.65,0.0
32.0,149.0,21.0975,1.0,0.0,12.0,35.17,43.23,7.106,8.89,0.0,52.59,25.18,22.23,84.73,26.0,0.323,152.95,1.0
33.0,181.0,21.0975,1.0,0.0,14.0,24.75,28.01,10.082,12.82,0.0,79.61,18.78,1.61,82.34,48.0,0.2225,173.69,1.0
29.0,146.0,21.0975,1.0,2.0,14.0,27.98,33.83,10.062,15.35,0.0,39.83,43.96,16.21,85.11,38.0,0.0373,153.81,1.0
26.0,238.0,42.195,0.0,0.0,23.0,30.76,35.64,10.332,16.48,2.0,64.13,15.48,20.39,100.0,27.0,0.2839,258.58,0.0
51.0,377.0,42.195,0.0,0.0,21.0,38.43,47.05,9.2,21.19,1.0,59.76,16.12,24.11,100.0,83.0,0.2373,304.89,1.0
46.0,183.0,21.0975,1.0,0.0,17.0,23.14,25.6,9.84,10.41,0.0,77.61,5.98,16.41,97.12,54.0,0.0846,181.8,1.0
43.0,37.0,5.0,1.0,0.0,7.0,20.55,23.78,9.003,6.13,0.0,76.54,5.42,18.03,84.39,84.0,0.5153,39.56,1.0
31.0,190.0,21.0975,1.0,1.0,11.0,16.84,25.51,8.735,12.79,0.0,49.58,45.77,4.65,68.69,24.0,0.0983,187.34,1.0
24.0,121.0,21.0975,0.0,0.0,11.0,34.94,38.12,10.056,13.38,0.0,72.59,26.41,1.0,91.37,71.0,0.3056,125.79,1.0
55.0,104.0,21.0975,2.0,0.0,16.0,17.24,25.85,7.851,12.43,0.0,61.63,28.67,9.7,90.25,62.0,0.2094,130.22,0.0
25.0,24.0,5.0,0.0,0.0,6.0,13.57,17.03,12.259,7.95,0.0,66.03,33.65,0.32,85.06,62.0,0.1054,30.86,0.0
37.0,117.0,21.0975,0.0,0.0,12.0,24.39,35.55,9.205,9.31,0.0,79.53,13.35,7.12,90.12,71.0,0.261,144.18,0.0
32.0,252.0,42.195,2.0,0.0,18.0,31.59,39.38,6.66,12.37,1.0,83.52,2.35,14.13,90.28,78.0,0.0718,221.23,1.0
33.0,44.0,5.0,2.0,0.0,7.0,19.29,24.2,7.797,8.1,0.0,74.85,17.05,8.1,87.15,66.0,0.1789,42.96,1.0
44.0,64.0,10.0,1.0,0.0,11.0,19.9,26.31,8.536,11.8,0.0,94.18,5.16,0.66,74.9,74.0,0.0725,74.84,0.0
49.0,203.0,21.0975,1.0,0.0,15.0,28.92,42.12,8.094,8.68,0.0,72.75,16.4,10.85,86.04,31.0,0.0533,174.92,1.0
49.0,20.0,5.0,0.0,0.0,8.0,17.36,20.49,10.3,5.46,0.0,84.78,11.28,3.94,49.01,57.0,0.2235,27.26,0.0
52.0,40.0,10.0,0.0,0.0,13.0,21.1,26.05,10.02,10.0,0.0,76.75,8.62,14.63,65.69,29.0,0.1444,57.34,0.0
32.0,28.0,5.0,0.0,0.0,10.0,20.59,28.31,9.796,8.77,0.0,50.96,35.12,13.92,90.45,41.0,0.096,32.68,0.0
44.0,98.0,21.0975,2.0,0.0,18.0,33.77,40.76,6.921,8.55,0.0,45.02,32.3,22.68,82.77,78.0,0.1515,118.14,0.0
49.0,73.0,10.0,1.0,1.0,10.0,14.0,16.32,9.05,11.16,0.0,46.03,50.12,3.85,88.47,45.0,0.0769,81.95,0.0
47.0,103.0,21.0975,0.0,0.0,14.0,27.61,37.89,9.502,9.5,0.0,78.03,0.0,21.97,78.6,22.0,0.3063,128.76,0.0
45.0,251.0,42.195,2.0,0.0,24.0,48.56,61.26,6.5,19.9,1.0,66.72,13.46,19.83,63.41,21.0,0.2225,210.73,1.0
45.0,284.0,42.195,2.0,2.0,15.0,39.88,46.57,6.5,20.38,2.0,53.69,27.57,18.74,77.6,42.0,0.3662,205.0,1.0
47.0,181.0,21.0975,0.0,2.0,18.0,26.21,32.42,9.122,8.01,0.0,68.87,18.72,12.41,86.5,66.0,0.1352,189.17,1.0
53.0,35.0,5.0,1.0,1.0,10.0,17.26,27.36,9.074,5.9,0.0,57.56,39.72,2.71,78.05,47.0,0.3023,45.97,0.0
50.0,189.0,21.0975,0.0,2.0,11.0,32.34,36.32,9.852,9.8,0.0,52.0,23.06,24.94,98.35,44.0,0.0206,190.66,1.0
40.0,202.0,21.0975,1.0,1.0,16.0,33.37,47.14,7.504,15.79,0.0,27.51,60.42,12.07,90.79,36.0,0.2721,186.29,1.0
32.0,112.0,21.0975,1.0,1.0,10.0,27.17,32.05,8.435,15.32,0.0,28.67,51.85,19.48,87.37,77.0,0.2126,142.58,0.0
32.0,93.0,10.0,0.0,0.0,8.0,17.69,20.06,10.746,6.02,0.0,95.03,0.0,4.97,100.0,46.0,0.0607,96.38,1.0
44.0,302.0,42.195,0.0,0.0,20.0,53.45,63.09,7.405,17.61,3.0,72.21,23.04,4.74,100.0,83.0,0.2678,244.42,1.0
